name,score,evaluate,meta,url,cover_url
Python神经网络编程,9.7,15,"[英]塔里克·拉希德（TariqRashid）,林赐,人民邮电出版社,2018-4,69.00元",https://book.douban.com/subject/30192800/,https://img3.doubanio.com/view/subject/l/public/s29738046.jpg
流畅的Python,9.4,195,"[巴西]LucianoRamalho,安道,吴珂,人民邮电出版社,2017-5-15,139元",https://book.douban.com/subject/27028517/,https://img3.doubanio.com/view/subject/l/public/s29434304.jpg
Python编程初学者指南,9.4,20,"[美]MichaelDawson,王金兰,人民邮电出版社,2014-10-1",https://book.douban.com/subject/26287445/,https://img1.doubanio.com/view/subject/l/public/s27969839.jpg
深度学习之TensorFlow：入门、原理与进阶实战,9.4,16,"李金洪,2018-2",https://book.douban.com/subject/30147782/,https://img3.doubanio.com/view/subject/l/public/s29694906.jpg
Python Cookbook 中文版，第 3 版,9.3,100,"DavidM.Beazley,BrianK.Jones,陈舸,人民邮电出版社,2015-5-1,108.00元",https://book.douban.com/subject/26381341/,https://img3.doubanio.com/view/subject/l/public/s28259942.jpg
Python数据科学手册,9.3,20,"JakeVanderPlas,陶俊杰,陈小莉,人民邮电出版社,2018-1-20,109.00元",https://book.douban.com/subject/27667378/,https://img1.doubanio.com/view/subject/l/public/s29667618.jpg
Python 3网络爬虫开发实战,9.3,36,"崔庆才,人民邮电出版社,2018-4,99",https://book.douban.com/subject/30175598/,https://img3.doubanio.com/view/subject/l/public/s29725690.jpg
Python编程：从入门到实践 : 从入门到实践,9.2,648,"[美]埃里克·马瑟斯,袁国忠,人民邮电出版社,2016-7-1,CNY89.00",https://book.douban.com/subject/26829016/,https://img3.doubanio.com/view/subject/l/public/s28891775.jpg
Python网络编程（第3版）,9.1,28,"[美]BrandonRhodes,[美]JohnGoerzen,诸豪文,人民邮电出版社,2016-9,79.00元",https://book.douban.com/subject/26869212/,https://img1.doubanio.com/view/subject/l/public/s29028877.jpg
Python编程快速上手 : 让繁琐工作自动化,9.0,278,"斯维加特(AlSweigart),人民邮电出版社,2016-7-1,CNY69.00",https://book.douban.com/subject/26836700/,https://img3.doubanio.com/view/subject/l/public/s29400403.jpg
Python 3面向对象编程,9.0,31,"[加]DustyPhillips（达斯帝•菲利普斯）,肖鹏,常贺,石琳,电子工业出版社,2015-6,79.00元",https://book.douban.com/subject/26468916/,https://img1.doubanio.com/view/subject/l/public/s28153549.jpg
集体智慧编程,8.9,116,"西格兰,东南大学出版社,2008-3-1,58.00元",https://book.douban.com/subject/3056375/,https://img3.doubanio.com/view/subject/l/public/s5891850.jpg
集体智慧编程,8.9,62,"TobySegaran,莫映,王开福,电子工业出版社,2015-3,79.00元",https://book.douban.com/subject/26348921/,https://img1.doubanio.com/view/subject/l/public/s28031189.jpg
从Python开始学编程,8.8,70,"Vamei,电子工业出版社,2016-11-24,CNY49.00",https://book.douban.com/subject/26919485/,https://img1.doubanio.com/view/subject/l/public/s29793528.jpg
零基础入门学习Python,8.8,33,"小甲鱼,清华大学出版社,2016-11-1,CNY49.50",https://book.douban.com/subject/26966433/,https://img3.doubanio.com/view/subject/l/public/s29322545.jpg
深入浅出程序设计（中文版） : 深入浅出程序设计,8.8,36,"PaulBarry,DavidGriffiths,蒋雁翔,童健,东南大学出版社,2012-1,98.00元",https://book.douban.com/subject/10518092/,https://img1.doubanio.com/view/subject/l/public/s9098469.jpg
Python源码剖析 : 深度探索动态语言核心技术,8.7,687,"陈儒,电子工业出版社,2008-6,69.80元",https://book.douban.com/subject/3117898/,https://img3.doubanio.com/view/subject/l/public/s3435132.jpg
